candidate_name,start of T90-F (UTC),T90-F,start of T90(UTC),T90,SNR
210910D,2021-09-10T01:18:44.481152,16.0,2021-09-10T01:18:53.505138,1.15,19.91
210910E,2021-09-10T01:21:40.001145,14.66,2021-09-10T01:21:48.321138,1.28,16.88
210910F,2021-09-10T01:31:30.193151,16.06,2021-09-10T01:31:39.921138,0.45,30.3
210910G,2021-09-10T01:34:08.945141,16.0,2021-09-10T01:34:18.737138,0.26,48.55
210910H,2021-09-10T02:03:17.889358,28.54,-,-,-
210910I,2021-09-10T02:44:24.673366,15.62,2021-09-10T02:44:34.017352,0.19,93.62
210910J,2021-09-10T04:27:21.968835,20.86,-,-,-
210910K,2021-09-10T13:40:10.683125,16.19,2021-09-10T13:40:20.155122,1.02,9.43
210910L,2021-09-10T17:16:30.416798,32.64,2021-09-10T17:16:53.776788,1.22,3.56
210910M,2021-09-10T18:40:50.563266,24.51,-,-,-
210910N,2021-09-10T18:50:00.563266,36.29,-,-,-
210910O,2021-09-10T20:06:42.155830,32.38,-,-,-
210910P,2021-09-10T22:39:08.305256,21.63,-,-,-
210911A,2021-09-11T00:12:00.240242,18.69,-,-,-
210911B,2021-09-11T05:48:00.832587,39.1,-,-,-
210911C,2021-09-11T13:34:16.132285,18.69,-,-,-
210911D,2021-09-11T13:48:36.100282,28.61,-,-,-
210911E,2021-09-11T15:06:33.441004,21.44,2021-09-11T15:06:43.169002,0.38,476.4
210911F,2021-09-11T15:17:36.065005,15.1,2021-09-11T15:17:45.217002,0.38,305.72
210911G,2021-09-11T15:32:23.745006,15.81,2021-09-11T15:32:31.617002,2.43,31.77
210911H,2021-09-11T15:34:30.833009,15.1,2021-09-11T15:34:39.793002,3.71,16.57
210911I,2021-09-11T17:10:38.528756,30.91,2021-09-11T17:10:48.320750,0.9,28.35
210911J,2021-09-11T19:22:49.520966,19.78,-,-,-
210911K,2021-09-11T20:13:30.672047,15.55,2021-09-11T20:13:40.400030,0.32,70.92
210912A,2021-09-12T12:27:59.152865,30.78,-,-,-
210912B,2021-09-12T14:41:27.680692,39.55,-,-,-
210912C,2021-09-12T15:32:36.224096,27.65,-,-,-
210912D,2021-09-12T16:35:08.314202,45.57,-,-,-
210912E,2021-09-12T17:14:30.000114,34.3,-,-,-
210912F,2021-09-12T18:11:01.396202,15.94,-,-,-
210912G,2021-09-12T20:29:12.993005,25.92,-,-,-
210912H,2021-09-12T21:18:22.623608,41.86,-,-,-
210913A,2021-09-13T02:33:24.864734,21.18,2021-09-13T02:33:33.056720,12.61,29.52
210913B,2021-09-13T17:11:42.544031,27.26,-,-,-
210914A,2021-09-14T02:22:27.808460,32.13,-,-,-
210914B,2021-09-14T12:42:57.029762,29.5,2021-09-14T12:43:07.269762,11.52,3.86
210914C,2021-09-14T15:06:27.584895,25.54,-,-,-
210915A,2021-09-15T16:44:57.488213,29.57,-,-,-
210916A,2021-09-16T17:24:18.382941,50.75,-,-,-
210917A,2021-09-17T10:25:25.948020,23.1,-,-,-
210917B,2021-09-17T13:54:04.127080,30.27,-,-,-
210918A,2021-09-18T00:07:51.456721,28.48,-,-,-
210918B,2021-09-18T04:39:35.681021,29.44,-,-,-
210918C,2021-09-18T05:05:59.600567,30.34,-,-,-
210918D,2021-09-18T10:08:46.106535,33.86,-,-,-
210918E,2021-09-18T13:58:10.624110,44.03,-,-,-
210918F,2021-09-18T15:11:32.527451,32.13,-,-,-
210918G,2021-09-18T15:41:41.935459,28.93,-,-,-
210918H,2021-09-18T17:53:23.088164,28.99,-,-,-
210919A,2021-09-19T03:41:27.600409,28.1,-,-,-
210919B,2021-09-19T14:48:15.150024,39.04,-,-,-
210919C,2021-09-19T16:49:12.363583,23.49,-,-,-
210919D,2021-09-19T23:44:16.992575,42.94,-,-,-
210920A,2021-09-20T03:51:40.385231,24.26,-,-,-
210920B,2021-09-20T04:34:04.184494,45.25,-,-,-
210920C,2021-09-20T11:19:24.530248,59.65,-,-,-
210920D,2021-09-20T13:08:24.912018,34.69,-,-,-
210921A,2021-09-21T07:43:34.250956,31.04,-,-,-
210921B,2021-09-21T09:44:10.827337,34.11,-,-,-
210921C,2021-09-21T11:01:56.787444,40.32,-,-,-
210921D,2021-09-21T11:27:36.787444,30.46,-,-,-
210921E,2021-09-21T14:29:03.124513,22.4,-,-,-
210921F,2021-09-21T19:06:33.056148,23.42,-,-,-
210921G,2021-09-21T23:18:33.796602,46.14,-,-,-
210922A,2021-09-22T10:54:08.660979,43.39,-,-,-
210922B,2021-09-22T10:57:42.047699,52.54,-,-,-
210922C,2021-09-22T14:34:38.739387,34.75,-,-,-
210922D,2021-09-22T14:39:02.499376,20.86,-,-,-
210922E,2021-09-22T19:03:33.893003,34.88,-,-,-
210923A,2021-09-23T08:27:05.937690,24.0,-,-,-
210923B,2021-09-23T09:34:18.032395,30.85,-,-,-
210923C,2021-09-23T09:58:00.000208,30.91,-,-,-
210923D,2021-09-23T12:20:11.487852,31.1,-,-,-
210923E,2021-09-23T12:33:04.431852,16.13,-,-,-
210923F,2021-09-23T13:52:36.998984,25.15,-,-,-
210924A,2021-09-24T09:06:57.632710,18.94,-,-,-
210924B,2021-09-24T10:39:08.643981,26.3,-,-,-
210924C,2021-09-24T12:06:11.706164,20.99,-,-,-
210924D,2021-09-24T17:42:45.360208,24.58,-,-,-
210924E,2021-09-24T19:14:55.905404,25.09,-,-,-
210925A,2021-09-25T11:51:39.064090,28.29,-,-,-
210925B,2021-09-25T15:57:18.239717,51.71,-,-,-
210925C,2021-09-25T19:15:32.177918,49.92,2021-09-25T19:15:36.913918,43.07,54.17
210926A,2021-09-26T10:58:40.512467,27.39,-,-,-
210926B,2021-09-26T11:36:34.519577,35.65,-,-,-
210926C,2021-09-26T15:44:15.265276,32.9,-,-,-
210926D,2021-09-26T21:05:30.673736,16.9,-,-,-
210926E,2021-09-26T21:22:20.641739,23.62,-,-,-
210927A,2021-09-27T08:23:02.340068,29.89,-,-,-
210927B,2021-09-27T16:56:53.681346,24.13,-,-,-
210929A,2021-09-29T01:44:35.361726,16.32,-,-,-
210929B,2021-09-29T04:25:07.669154,29.12,-,-,-
210929C,2021-09-29T22:05:20.368966,35.46,-,-,-
210930A,2021-09-30T02:46:51.116151,32.96,2021-09-30T02:46:59.436148,7.1,9.87
210930B,2021-09-30T16:41:10.000192,36.03,-,-,-
210930C,2021-09-30T19:40:05.248231,24.13,-,-,-
211001A,2021-10-01T01:40:56.514250,23.42,-,-,-
211001B,2021-10-01T07:34:54.557865,30.27,-,-,-
211001C,2021-10-01T08:54:09.969168,25.15,-,-,-
211001D,2021-10-01T13:22:24.481718,35.46,-,-,-
211002A,2021-10-02T10:32:40.147606,47.3,-,-,-
211002B,2021-10-02T17:33:50.000034,45.82,-,-,-
211003A,2021-10-03T12:41:57.105158,16.51,-,-,-
211004A,2021-10-04T04:56:28.668496,32.13,-,-,-
211004B,2021-10-04T07:26:48.880125,36.54,-,-,-
211004C,2021-10-04T11:48:18.656308,28.35,-,-,-
211005A,2021-10-05T01:23:43.177128,22.59,-,-,-
211005B,2021-10-05T03:17:38.240047,35.52,-,-,-
211005C,2021-10-05T03:24:01.168056,35.2,-,-,-
211005D,2021-10-05T06:37:18.329975,28.93,2021-10-05T06:37:22.233974,31.81,2.74
211005E,2021-10-05T07:06:08.320430,21.44,-,-,-
211005F,2021-10-05T07:14:45.808425,53.5,-,-,-
211005G,2021-10-05T08:34:32.497621,57.15,-,-,-
211006A,2021-10-06T04:24:54.292826,32.77,-,-,-
211006B,2021-10-06T06:10:06.523777,28.1,-,-,-
211006C,2021-10-06T08:07:20.416088,25.86,-,-,-
211006D,2021-10-06T09:45:22.871300,37.12,-,-,-
211006E,2021-10-06T12:00:50.000454,36.42,-,-,-
211007A,2021-10-07T01:05:36.240931,53.7,-,-,-
211008A,2021-10-08T00:44:26.594404,18.3,-,-,-
211008B,2021-10-08T04:08:25.937463,17.66,-,-,-
211008C,2021-10-08T18:08:10.001880,20.54,-,-,-
211008D,2021-10-08T23:20:24.944154,44.99,-,-,-
211009A,2021-10-09T03:01:40.000662,38.34,-,-,-
211009B,2021-10-09T20:54:31.160555,26.94,-,-,-
211010A,2021-10-10T03:02:58.915145,31.17,-,-,-
211010B,2021-10-10T16:13:40.000628,19.97,-,-,-
211011A,2021-10-11T06:06:13.440291,66.5,-,-,-
211011B,2021-10-11T08:46:09.553313,40.38,-,-,-
211011C,2021-10-11T13:51:22.657946,25.09,-,-,-
211012A,2021-10-12T01:25:24.205522,47.81,-,-,-
211012B,2021-10-12T03:43:08.506054,29.57,-,-,-
211012C,2021-10-12T03:54:22.778057,40.32,-,-,-
211012D,2021-10-12T07:01:57.137013,30.59,-,-,-
211012E,2021-10-12T18:44:46.093814,28.61,-,-,-
211013A,2021-10-13T00:14:56.481549,23.62,-,-,-
211013B,2021-10-13T04:44:33.146783,37.25,-,-,-
211013C,2021-10-13T21:09:28.872016,24.06,-,-,-
